Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R59,10kΩ,R_0402,181.0,-85.75,0.0,top
R6,33kΩ,R_0402,157.6,-119.4,90.0,top
R60,10kΩ,R_0402,181.0,-86.55,0.0,top
R61,10kΩ,R_0402,185.744119,-108.406066,90.0,top
R62,10kΩ,R_0402,190.05,-88.55,90.0,top
R66,10kΩ,R_0402,178.05,-88.7,-90.0,top
R67,10kΩ,R_0402,178.95,-88.7,-90.0,top
R68,10kΩ,R_0402,179.85,-88.7,-90.0,top
R7,10kΩ,R_0402,145.029399,-114.773513,180.0,top
R8,10kΩ,R_0402,158.275,-110.35,-90.0,top
R9,22kΩ,R_0402,157.475,-110.35,90.0,top
R902,22Ω,R_0402,178.4,-106.85,180.0,top
R903,22Ω,R_0402,178.4,-106.05,180.0,top
R906,22Ω,R_0402,173.6,-105.825,0.0,top
R907,22Ω,R_0402,173.6,-106.625,0.0,top
SW1,SK12D07VG5,SW-TH_SK12D07VG5-1,194.1,-119.75,90.0,top
SW3,TC-6615Z-12.5-260,SW-TH_4P-L7.3-TC-6615Z-12.5-260,181.6825,-118.25,0.0,top
TP1,TestPoint,TestPoint_Pad_D1.0mm,141.7,-97.4,0.0,bottom
TP16,TestPoint,TestPoint_Pad_D1.0mm,103.4,-113.5,0.0,bottom
TP17,TestPoint,TestPoint_Pad_D1.0mm,110.2,-110.8,0.0,bottom
TP18,TestPoint,TestPoint_Pad_D1.0mm,108.4,-109.4,0.0,bottom
TP19,TestPoint,TestPoint_Pad_D1.0mm,111.2,-109.0,0.0,bottom
TP2,TestPoint,TestPoint_Pad_D1.0mm,142.475,-100.725,0.0,bottom
TP20,TestPoint,TestPoint_Pad_D1.0mm,104.4,-111.2,0.0,bottom
TP3,TestPoint,TestPoint_Pad_D1.0mm,136.95,-100.45,0.0,bottom
TP4,TestPoint,TestPoint_Pad_D1.0mm,138.95,-99.8,0.0,bottom
U1,TJA1044GTK_3Z,HVSON-8-1EP_3x3mm_P0.65mm_EP1.6x2.4mm,144.35,-112.175,-90.0,top
U10,AT24C256C,SOIC-8_5.3x5.3mm_P1.27mm,184.95,-89.725,0.0,top
U11,ESP32-C6_C5364646,QFN-40_L5.0-W5.0-P0.40-TL-EP3.3,154.9,-104.39,180.0,top
U12,TCA9555RTWR,HVQFN-24_L4.0-W4.0-P0.50-BL-EP2.6,188.6,-111.325,-90.0,top
U13,CH340G,SOIC-16_3.9x9.9mm_P1.27mm,181.21,-100.5,90.0,top
U15,AMS1117-3.3,SOT-223-3_TabPin2,139.0,-110.7,-90.0,top
U2,TPS54560BDDA,Texas_R-PDSO-G8_EP2.95x4.9mm_Mask2.4x3.1mm_ThermalVias,104.65,-107.4,0.0,top
U3,FSUSB42UMX,UQFN-10_1.4x1.8mm_P0.4mm,157.9625,-114.6,0.0,top
U302,CH334P,QFN-16-1EP_3x3mm_P0.5mm_EP1.7x1.7mm,175.75,-109.1,180.0,top
U4,TPD2EUSB30DRTR-TP,SOT-723,162.2,-115.5,180.0,top
U5,TPD2EUSB30DRTR-TP,SOT-723,147.775,-115.3875,180.0,top
U6,TJA1044GTK_3Z,HVSON-8-1EP_3x3mm_P0.65mm_EP1.6x2.4mm,148.775,-111.875,-90.0,top
U7,FSUSB42UMX,UQFN-10_1.4x1.8mm_P0.4mm,164.4,-111.6125,-90.0,top
U8,ZD25Q128CSIGT,SOP-8_L5.3-W5.3-P1.27-LS7.9-BL,145.19,-103.05,180.0,top
U9,TPD2EUSB30DRTR-TP,SOT-723,181.5,-122.625,90.0,top
X2,"40MHz, 15pF",OSC-SMD_4P-L3.2-W2.5-BL_SIT8008BI,153.575,-111.575,0.0,top
X3,X322512MSB4SI,CRYSTAL-SMD_4P-L3.2-W2.5-BL,188.21,-102.15,180.0,top
Y900,Crystal_GND24,Crystal_SMD_3225-4Pin_3.2x2.5mm,181.45,-110.6,0.0,top
